alcohol,amount,attributes,company,description,dilivery,image_src,price,stock,title,url
42 % vol,"0,6 Liter",{'Sorte:': 'Single Malt Whisky'},Bowmore Distillery School St Bowmore Isle of Islay Argyll PA43 7JS/GB,"Dieses Sortiment eignet sich hervorragend, um die verschiedenen Geschmacksrichtungen der Bowmore Single Malt Whiskys kennenzulernen.",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_SORTBOW02_1.jpg,"59,90",sofort lieferbar,Bowmore Collection,https://www.whisky.de/shop/Schottland/Sortimente/Bowmore-Collection.html?&searchorigin=2
"44,9 % vol","0,6 Liter",{'Sorte:': 'Single Malt Whisky'},Diageo Germany GmbH Reeperbahn 1 20359 Hamburg/DE,"Sortiment mit je 1 Flasche a 0,2 Liter, in Geschenkpackung:",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_SORTCOAST_1.jpg,"41,90",sofort lieferbar,Classic Malts Coastal Pack,https://www.whisky.de/shop/Schottland/Sortimente/Classic-Malts-Coastal-Pack--.html?&searchorigin=2
"42,9 % vol","0,6 Liter",{'Sorte:': 'Single Malt Whisky'},Diageo Germany GmbH Reeperbahn 1 20359 Hamburg/DE,"Sortiment mit je 1 Flasche a 0,2 Liter, in Geschenkpackung:",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_SORTCLONE_1.jpg,"43,90",sofort lieferbar,Classic Malts Collection Strong,https://www.whisky.de/shop/Schottland/Sortimente/Classic-Malts-Collection-Strong.html?&searchorigin=2
43 % vol,"0,6 Liter",{'Sorte:': 'Single Malt Whisky'},Diageo Germany GmbH Reeperbahn 1 20359 Hamburg/DE,"Sortiment mit je 1 Flasche a 0,2 Liter, in Geschenkpackung:",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_SORTCLTWO_1.jpg,"43,90",sofort lieferbar,Classic Malts Collection Gentle,https://www.whisky.de/shop/Schottland/Sortimente/Classic-Malts-Collection-Gentle.html?&searchorigin=2
43 % vol,"1,05 Liter",{'Sorte:': 'Single Malt Whisky'},Glenmorangie Distillery Tain Ross-shire IV19 1PZ/GB,Mit diesem praktischen Probierset lassen sich gleich drei Single Malts aus dem Standardsortiment von Glenmorangie verkosten.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_SORTGMOCO_1.jpg,"56,90","sofort lieferbar, wird vom Markt genommen",Glenmorangie Core Pack,https://www.whisky.de/shop/Schottland/Sortimente/Glenmorangie-Core-Pack.html?&searchorigin=2
40 % vol,"0,6 Liter",{'Sorte:': 'Single Malt Whisky'},Glenfiddich Distillery Dufftown Banffshire AB55 4DH/GB,"Dieses Sortiment eignet sich hervorragend, um die verschiedenen Geschmacksrichtungen der Glenfiddich Single Malt Whiskys kennen zu lernen.",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_SORTGFID3_1.jpg,"45,90",sofort lieferbar,Glenfiddich Mix Pack,https://www.whisky.de/shop/Schottland/Sortimente/Glenfiddich-Mix-Pack.html?&searchorigin=2
50 % vol,"0,7 Liter","{'Sorte:': 'Blended Whisky', 'Abfüller:': 'Murray McDavid'}",Murray McDavid Coleburn Distillery Longmorn Elgin IV30 8SN/G,"Der unabhängige Abfüller Murray McDavid ist in der Speyside bei der Coleburn Brennerei beheimatet. In seinen insgesamt 6 verschiedenen Serien füllt er die verschiedensten Single Malts, Grains und Blends ab. Die Blends von Murray McDavid werden aus verschiedenen Malt und Grain Whiskys zusammengestellt. ",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_AIRLE88MD_1.jpg,"128,50",sofort lieferbar,Air Leth 29J-1988/2018,https://www.whisky.de/shop/Schottland/Blend/Air-Leth-29J-1988-2018.html?&searchorigin=2
"44,9 % vol","0,7 Liter","{'Sorte:': 'Blended Malt Whisky', 'Abfüller:': 'Murray McDavid'}",Murray McDavid Coleburn Distillery Longmorn Elgin IV30 8SN/G,In der The Vatting Serie verheiratet Murray McDavid ausgewählte Malts zu einem neuen Geschmackserlebnis. Hinter dem Islay Blend Àlainn verbergen sich die berühmten Brennereien Bowmore und Laphroaig. Nach über 25-jähriger Vermählung im Sherry Butt wurde das Batch aus 2 Fässern abgefüllt. Es handelt sich hier um einen Blended Malt,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ALAIN89MD_1.jpg,"158,00",sofort lieferbar,Malts of Islay Àlainn 27J-1989/2017,https://www.whisky.de/shop/Schottland/Blend/Malts-of-Islay-lainn-27J-1989-2017.html?&searchorigin=2
40 % vol,"0,7 Liter",{'Sorte:': 'Blended Whisky'},J&W Hardie Ltd. Edinburgh IV13 7YT/GB,Antiquary gehört zu den ältesten Blends Schottlands. Sein Ursprung lässt sich bis ins Jahr 1857 zurückverfolgen. Mitte der 90er kaufte Tomatin die Firma Hardie und ihre Blendmarke The Antiquary. Diese neu designte Abfüllung hat einen hohen Malt-Anteil.,inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ANTIQ0000_1.jpg,"15,90",sofort lieferbar,Antiquary,https://www.whisky.de/shop/Schottland/Blend/Antiquary.html?&searchorigin=2
40 % vol,"0,7 Liter",{'Sorte:': 'Blended Whisky'},Isle of Arran Distillers Ltd. Lochranza Isle of Arran KA27 8HJ/GB,"Dieser Blended Scotch Whisky ist offiziell von der Robert Burns World Federation anerkannt. Er enthält einen Anteil Malt Whisky aus der Arran Brennerei vermischt mit Grain Whisky und spiegelt den Charakter der Insel, des reinen Bergwassers und der weichen Seeluft.",inkl. 19% MwSt. exkl.,https://www.whisky.de/shop/out/pictures/generated/product/1/200_247_75/image_ARRAN0BRB_1.jpg,"14,90",sofort lieferbar,Robert Burns Blend,https://www.whisky.de/shop/Schottland/Blend/Robert-Burns-Blend.html?&searchorigin=2
